TransactionID,CustomerID,TransactionAmount,TransactionType,Merchant,TransactionTime,Location,DeviceType,PreviousTransactions,AccountBalance,IsInternational,Fraud
TXN100000,CUST1103,6551.26,Debit,Apple,2025-05-03 06:36:00,Dubai,Mobile,7,103427.45,No,0
TXN100001,CUST1436,697.21,Debit,Google,2025-06-02 14:04:00,Hyderabad,ATM,2,31263.01,No,0
TXN100002,CUST1349,506.65,Debit,Local Store,2025-08-07 09:10:00,Mumbai,Mobile,10,111163.13,No,0
TXN100003,CUST1271,1464.42,Debit,Flipkart,2025-02-05 07:41:00,Chennai,Mobile,8,51509.25,Yes,0
TXN100004,CUST1107,418.29,Credit,Google,2025-08-23 18:01:00,Bengaluru,ATM,8,42375.52,No,0
TXN100005,CUST1072,665.48,Credit,Apple,2025-05-28 21:37:00,Kochi,Web,11,68660.0,No,0
TXN100006,CUST1189,2051.98,Debit,Uber,2025-01-07 07:18:00,Delhi,Web,9,81170.34,No,0
TXN100007,CUST1021,19394.53,Debit,Walmart,2025-08-14 15:12:00,Pune,Mobile,13,55138.04,Yes,0
TXN100008,CUST1103,1930.35,Credit,Flipkart,2025-10-02 09:41:00,Mumbai,Mobile,11,26747.21,No,0
TXN100009,CUST1122,3586.22,Debit,Uber,2025-05-30 08:08:00,Hyderabad,Mobile,8,19885.73,No,0
TXN100010,CUST1467,660.44,Credit,Swiggy,2025-04-20 02:07:00,Mumbai,Web,7,11291.35,Yes,0
TXN100011,CUST1215,1432.34,Credit,Zomato,2025-01-24 03:20:00,Hyderabad,Mobile,9,33726.83,No,0
TXN100012,CUST1331,161.11,Credit,Myntra,2025-08-16 02:25:00,Kochi,Web,3,72112.85,No,0
TXN100013,CUST1459,289.31,Debit,Flipkart,2025-12-23 10:47:00,Hyderabad,Web,8,14453.82,Yes,1
TXN100014,CUST1088,1282.38,Debit,Google,2025-09-11 00:39:00,Kolkata,Mobile,4,13260.7,No,0
TXN100015,CUST1373,1562.0,Debit,Walmart,2025-06-30 12:11:00,Chennai,Mobile,15,114513.32,No,0
TXN100016,CUST1100,2552.48,Credit,Other,2025-10-10 12:45:00,Kolkata,Mobile,10,24535.06,No,0
TXN100017,CUST1360,907.21,Debit,Uber,2025-03-11 22:54:00,Dubai,Web,8,8180.45,No,0
TXN100018,CUST1152,4958.82,Credit,Apple,2025-04-20 12:22:00,Delhi,Web,7,9973.29,Yes,0
TXN100019,CUST1131,1901.39,Debit,Flipkart,2025-05-04 01:55:00,Delhi,Web,7,41439.81,No,0
TXN100020,CUST1150,178.9,Debit,Zomato,2025-03-10 09:51:00,London,Mobile,11,20805.01,No,0
TXN100021,CUST1309,179.23,Debit,ATM,2025-07-10 03:17:00,Kolkata,Mobile,8,42567.21,No,0
TXN100022,CUST1258,1247.09,Debit,Apple,2025-03-10 14:58:00,Bengaluru,Web,7,25177.86,Yes,0
TXN100023,CUST1344,865.07,Debit,Uber,2025-04-16 19:20:00,Hyderabad,Mobile,9,34837.88,No,0
TXN100024,CUST1492,1368.61,Debit,ATM,2025-09-17 12:26:00,Pune,Web,3,111911.9,No,0
TXN100025,CUST1414,783.61,Credit,Walmart,2025-05-28 04:37:00,Pune,Web,9,25849.55,No,0
TXN100026,CUST1294,601.62,Debit,Amazon,2025-02-20 11:55:00,Hyderabad,Mobile,9,71904.77,No,0
TXN100027,CUST1386,526.02,Debit,Zomato,2025-04-09 04:38:00,Hyderabad,Mobile,8,32373.85,No,0
TXN100028,CUST1192,1035.74,Debit,Apple,2025-12-27 10:52:00,London,Mobile,8,12543.92,No,0
TXN100029,CUST1444,2539.39,Credit,Zomato,2025-04-03 02:32:00,Chennai,Mobile,8,130911.69,No,0
TXN100030,CUST1277,373.83,Credit,Swiggy,2025-02-27 18:26:00,Mumbai,Web,11,146059.53,No,0
TXN100031,CUST1161,954.64,Debit,ATM,2025-04-15 22:14:00,Chennai,Web,10,26506.53,No,0
TXN100032,CUST1460,4558.17,Credit,Other,2025-01-20 17:00:00,Kochi,ATM,8,33318.03,No,0
TXN100033,CUST1314,192.25,Credit,Apple,2025-07-03 16:20:00,Chennai,Web,12,75331.93,No,0
TXN100034,CUST1022,2085.0,Debit,Flipkart,2025-02-18 20:06:00,Kolkata,Mobile,10,25884.08,No,0
TXN100035,CUST1253,890.3,Debit,Other,2025-06-03 10:51:00,Chennai,Mobile,13,61381.45,No,0
TXN100036,CUST1236,502.59,Debit,Amazon,2025-11-22 15:33:00,Kolkata,Web,9,16149.59,No,0
TXN100037,CUST1345,,Debit,Amazon,2025-04-28 00:04:00,Kochi,Mobile,10,117569.24,No,0
TXN100038,CUST1049,3080.56,Credit,,2025-12-03 09:30:00,Mumbai,Web,5,39049.54,No,0
TXN100039,CUST1475,962.72,Debit,Zomato,2025-08-26 07:05:00,Delhi,Web,6,52212.76,Yes,0
TXN100040,CUST1059,,Credit,Google,2025-06-06 11:14:00,Mumbai,Mobile,7,82237.89,No,0
TXN100041,CUST1170,461.03,Debit,Amazon,2025-11-01 15:56:00,Hyderabad,Mobile,6,54942.22,No,0
TXN100042,CUST1476,665.78,Debit,Other,2025-12-08 13:52:00,Kochi,Mobile,7,28624.1,No,0
TXN100043,CUST1188,2611.94,Debit,Amazon,2025-12-26 00:38:00,Bengaluru,ATM,10,108052.92,No,0
TXN100044,CUST1464,663.43,Debit,Swiggy,2025-12-28 02:24:00,Pune,Mobile,8,55622.46,No,0
TXN100045,CUST1271,1069.8,Credit,Local Store,2025-11-20 10:37:00,Bengaluru,ATM,8,26278.67,No,0
TXN100046,CUST1190,549.27,Credit,Swiggy,2025-09-18 01:24:00,Bengaluru,Web,6,9629.59,No,0
TXN100047,CUST1446,736.2,Debit,Swiggy,2025-12-19 19:42:00,Hyderabad,ATM,5,29409.74,No,0
TXN100048,CUST1175,932.73,Debit,Local Store,2025-04-02 16:28:00,Delhi,Mobile,6,19987.19,No,0
TXN100049,CUST1446,432.52,Debit,Zomato,2025-06-10 17:27:00,Mumbai,Mobile,5,30285.61,No,0
TXN100050,CUST1051,502.13,Debit,Apple,2025-11-03 08:04:00,Pune,Web,8,18375.15,No,0
TXN100051,CUST1364,651.02,Debit,Walmart,2025-10-28 10:59:00,Bengaluru,ATM,5,39660.6,No,0
TXN100052,CUST1055,4922.9,Debit,Google,2025-07-29 04:07:00,Chennai,Mobile,4,21230.34,No,0
